line_id,text
d6_study_done_01,슬라이드 확인했어. 게임처럼 보이는 요소랑 실제 도박 기준을 나눠서 쓴 게 좋아.
d6_study_done_02,내일 예상 질문만 맞춰보면 발표 준비는 끝날 것 같아.
d8_lecture_01,도박 문제는 의지만으로 해결되지 않을 수 있습니다. 손실을 숨기고 혼자 복구하려는 순간 피해가 커집니다.
d8_lecture_02,문제가 의심되면 믿을 만한 어른에게 말하고 국번 없이 1336으로 도움을 요청할 수 있습니다.
d8_lecture_03,민재가 보낸 링크가 떠올랐다. 아직 큰일은 아니라고 넘기고 싶지만 계속 권유받는 것부터 이상한 건 아닐까.
d9_start_01,강연에서 들은 말이 자꾸 떠올랐다. 가볍게 넘겼던 민재의 링크를 왜 계속 신경 쓰고 있는지도 생각났다.
d9_school_01,어제 강연 내용 중 궁금한 게 있으면 언제든 상담을 요청해도 된다.
d10_start_01,금요일 아침. 이번 주말에 받을 알바비와 지켜야 할 약속들이 함께 떠올랐다.
d11_start_01,두 번째 토요일 근무다. 지난주보다 일은 익숙해졌지만 오늘도 늦지 않게 준비해야 한다.
d11_job_01,지난주보다 손이 많이 익었네. 오늘도 급하게 하지 말고 네 페이스대로 해.
d11_job_02,그래. 힘들거나 신경 쓰이는 일이 있으면 혼자 버티지만 말고 얘기하고.
d12_start_01,일요일 근무가 남아 있다. 어제 못다 한 말이 오늘까지 따라왔다.
d12_manager_help_01,나도 예전에 잃은 돈만 찾으면 그만둘 수 있다고 생각했어.
d12_manager_help_02,복구하려고 빌린 돈까지 잃고 나서도 혼자 해결하려 했지. 그래서 더 오래 걸렸어.
d12_manager_help_03,내일 학교에 가면 선생님께 먼저 말해. 혼자 멈추는 것보다 도움을 받는 게 먼저야.
d13_start_help_01,월요일 아침. 점장님이 했던 말이 계속 남아 있다. 오늘은 학교에 가서 선생님께 말해보자.
d13_consult_01,수업이 끝난 뒤 교무실 앞까지 왔다. 막상 문을 보니 입이 떨어지지 않는다.
d13_consult_02,무슨 일 있니? 괜찮으니까 천천히 이야기해도 돼.
d13_consult_response_01,선생님. 저 도박 때문에 돈을 잃었어요. 혼자서는 멈추기 힘든 것 같아요.
d13_consult_response_02,말해줘서 다행이다. 혼자 해결하려 하지 말고 보호자와 전문 상담을 함께 연결하자.
d13_hide_result_01,괜찮다고 말하고 교무실을 나왔다. 도움을 청할 기회가 있었는데 또 숨겨버렸다.
d14_recovery_01,선생님과 이야기한 다음 날 부모님께도 사실을 말했다. 예상대로 크게 혼났지만 더 숨길 수는 없었다.
d14_recovery_02,잃은 돈이 바로 돌아오는 건 아니야. 빌린 돈이 있다면 함께 갚을 계획을 세우고 상담도 계속 받자.
d14_epilogue_01,며칠 뒤 상담을 시작했다. 잃은 돈과 놓친 약속은 남아 있었지만 더 큰 손실은 생기지 않았다.
d14_epilogue_02,한 번 멈춘다고 모든 것이 원래대로 돌아오지는 않는다. 그래도 혼자 숨기지 않는 것부터 다시 시작할 수 있었다.
gamble_1_03,한 시간 만에 수리비 이만 원이 채워졌다. 알바 한 번보다 적지만 몸을 쓰지 않고 생긴 돈이라는 생각이 먼저 들었다.
gamble_2_02,두 시간이 사라졌지만 숙제보다 빨리 무언가를 얻은 기분이 들었다.
gamble_3_02,...여기서 그만두면 오늘 잃은 돈은 진짜 손실로 남는 거잖아.
gamble_4_02,지금 멈추면 아직 손실이 남는다. 그래도 여기서 나오는 게 맞을까.
gamble_5_02,교통비도 남지 않았다. 돈을 빌리면 한 번은 더 시도할 수 있다는 생각이 들었다.
gamble_6_02,도박을 멈춰도 이미 잃은 돈과 어긋난 약속은 그대로 남았다. 이제는 누구에게도 쉽게 설명할 수 없을 것 같다.
