category,status,severity,finding,required_change,integration_risk
collapse_priority,FIXED_IN_DRAFT,critical,"현재 붕괴 문구는 무도박 일정 붕괴에도 잃은 돈을 되찾겠다는 생각을 단정할 수 있다.","gamble_sessions 3 미만 무채무와 3 이상 무채무와 3 이상 채무의 붕괴 독백을 분리",high
ending_exclusivity,FIXED_IN_DRAFT,critical,"prevented recovery no_help collapse 조건이 동시에 참일 수 있어 우선순위 없이는 여러 장면이 겹칠 수 있다.","collapse 우선 다음 recovery 또는 no_help 다음 prevented 순서를 config 행에 명시",high
outgoing_message_once,NEEDS_RUNTIME_QA_LATER,critical,"서연과 서준에게 주인공 메시지가 여러 번 전송된 과거 문제가 있어 새 대사 연결 시 재발 위험이 있다.","통합 단계에서 pending message를 수신자와 line_id 단위로 한 번만 소비",high
inactive_chat_coroutine,NEEDS_RUNTIME_QA_LATER,critical,"비활성 Chat 오브젝트에서 코루틴을 시작해 진행이 멈춘 과거 오류가 있었다.","통합 단계에서 채팅 앱 활성화 완료 뒤 메시지 연출을 시작하고 비활성 상태에서는 대기",high
schedule_management_strength,FIXED_IN_SCHEDULE_DRAFT,high,"현재 일부 공부와 알바와 도박 결정을 여전히 대화 선택지가 대신한다.","ScenarioV3_ScheduleAction_Draft 기준으로 시간 사용 선택을 태블릿 앱 행동으로 옮기고 CSV는 결과 장면만 호출",high
dialogue_context_coverage,PASS_WITH_MATRIX,medium,"도박 0회부터 6회까지 채무 세 상대와 프로젝트 양쪽과 출근 기록과 도움 여부를 분기 동치군으로 검토했다.","RouteMatrix의 RULE_REQUIRED와 SCENE_LINK_REQUIRED를 통합 전 해결",medium
csv_only_safety,PASS,low,"현재 수정안은 Docs 폴더의 검토용 CSV에만 있으며 런타임 Resources에는 연결하지 않았다.","검토 승인 전 게임 데이터로 복사하지 않음",none
scenario_coherence_score,8.5_of_10,medium,"돈이 필요한 이유와 정상 수입과 도박 유혹과 손실 복구와 채무가 한 줄기로 이어진다. 과제와 알바 관계도 독립 결과로 남는다.","통합 전 실제 말투만 최종 교정",low
branch_coverage_score,9_of_10,medium,"결과가 달라지는 60개 분기 동치군과 23개 일정 행동 창을 정의했다. 같은 상태로 끝나는 클릭 순서만 묶었다.","통합 후 자동 경로 QA로 실제 도달성 확인",medium
runtime_error_probability,UNKNOWN_UNTIL_INTEGRATION,high,"CSV 자체 형식은 정상이나 아직 게임에 연결하지 않았으므로 코루틴과 비활성 오브젝트와 중복 메시지 같은 런타임 오류 가능성은 판정할 수 없다.","연결 단계에서 컴파일 검사와 상태별 자동 QA와 화면 QA 수행",high
flow_operation_score,8_of_10,medium,"엔딩 분할 규칙은 모든 상태를 한 경로로 분류하지만 실제 트리거 우선순위와 앱 닫힘 순서는 런타임 연결 전이라 미검증이다.","ending_router와 ScheduleAction 표를 그대로 구현 조건으로 사용",high
integration_readiness,CSV_REVIEW_READY,medium,"핵심 서사와 금액 구조와 분기 우선순위와 일정 행동 설계가 검토용 CSV에 작성됐다. 아직 게임 데이터에는 연결하지 않았으므로 런타임 도달성은 미검증 상태다.","사용자 검토 뒤 별도 통합 단계에서 한 항목씩 연결하고 전체 루트 QA 수행",high
