window_id,day,time_window,story_before,tablet_goal,available_actions,action_that_advances,time_cost,success_scene,miss_or_competing_scene,attention_dot_rule,dialogue_context,review_status
D3_SCHOOL,3,morning,day3_start,"지도 앱에서 학교 선택",map_school,"arrive school",to_16,d3_school_story,late_arrival,"지도 앱과 학교 목적지","학교에서 서연과 사례를 본 뒤에만 오늘 학교에서 본 사례라는 공부 문구를 사용한다.",READY
D3_AFTER_SCHOOL,3,16:00,d3_school_story,"공부 앱 또는 도박 앱 선택",study|casino,"complete study or gamble session",study_activity_duration|120,d3_study_done,gamble_advance,"공부와 도박 중 현재 가능한 앱","선택 순서를 섞어도 첫 도박이면 gamble_1 두 번째면 gamble_2로 가며 1일차 장면을 재생하지 않는다.",REQUIRED
D4_JOB,4,morning,d4_start,"지도 앱에서 카페 선택",map_cafe|casino,"arrive cafe or consume cutoff",shift_length,d4_job,d4_job_missed_now,"지도 앱과 카페 목적지","주인공이 점장에게 수리비 목표를 먼저 말한 뒤 점장이 목표를 언급한다.",FIXED_IN_DRAFT
D5_JOB,5,morning,d5_minjae,"지도 앱에서 카페 선택 또는 도박 앱 열기",map_cafe|casino,"arrive cafe or gamble session",shift_length|gamble_duration,d5_job,d5_job_missed_now,"대화 종료 뒤 지도 앱과 카페를 우선 표시","알바와 도박 선택을 메시지 답장 버튼이 아니라 실제 앱 행동으로 확정한다.",REQUIRED
D6_AFTER_SCHOOL,6,16:00,d6_minjae,"공부 앱에서 발표자료 제작 또는 도박 앱",study|casino,"complete activity",study_activity_duration|gamble_duration,d6_study_done,gamble_advance,"공부 앱과 필요한 메시지 앱","발표자료를 먼저 만들겠다는 답장 대신 실제 공부 완료 후 서연에게 결과 메시지를 보낸다.",REQUIRED
D7_AFTER_SCHOOL,7,16:00,d7_school_story,"공부 앱에서 발표 연습",study,"complete activity",study_activity_duration,d7_study_done,bedtime_fill,"공부 앱","상대가 월요일에 만들자고 끝냈다면 주인공 답장을 먼저 보낸 상태를 유지한다.",READY
D8_PRESENTATION,8,morning,d8_start,"지도 앱에서 학교 선택",map_school,"arrive school",to_16,d8_project_good|d8_project_bad,late_arrival,"지도 앱과 학교 목적지","project progress만으로 발표 결과를 판정하고 도박 엔딩과 독립시킨다.",READY
D9_SCHOOL_OR_GAMBLE,9,morning,d9_minjae,"지도 앱에서 학교 선택 또는 도박 앱",map_school|casino,"arrive school or gamble session",to_16|gamble_duration,d9_school,gamble_advance,"학교 미완료면 지도 앱을 계속 표시","도박을 먼저 해도 나중에 지각 등교가 가능하며 학교 강연과 상담 장면은 생략하지 않는다.",REQUIRED
D10_SCHOOL_OR_GAMBLE,10,morning,d10_minjae_router,"지도 앱에서 학교 선택 또는 도박 앱",map_school|casino,"arrive school or gamble session",to_16|gamble_duration,d10_school,gamble_advance,"학교 미완료면 지도 앱","난 알바하러 갈 거야가 아니라 난 학교부터 갈 거야 주말엔 알바할 거고라고 답한다.",FIXED_IN_DRAFT
D11_JOB,11,morning,d11_start,"지도 앱에서 카페 선택 또는 도박 앱",map_cafe|casino,"arrive cafe or consume cutoff",shift_length|gamble_duration,d11_job|d11_minjae_debt_cafe,d11_job_missed_now,"지도 앱과 카페 목적지","민재 채무 여부에 따라 카페 대면 대사를 분리하고 출근 여부는 실제 이동으로 결정한다.",REQUIRED
D12_JOB,12,morning,d12_start|d12_start_stable,"지도 앱에서 카페 선택",map_cafe|casino,"arrive cafe or consume cutoff",shift_length|gamble_duration,d12_manager_help|d12_manager_bond|d12_manager_distant,d12_job_missed_now,"지도 앱과 카페 목적지","도박 횟수와 과거 출근 기록으로 점장 대사를 분기한다.",READY
D13_CONSULT,13,morning,d13_start_help|d13_start_no_help|d13_start_stable,"지도 앱에서 학교 선택",map_school,"arrive school",to_16,d13_consult|d13_no_help_school|d13_stable_school,late_arrival,"지도 앱과 학교 목적지","점장 조언 여부와 도박 횟수에 맞는 학교 대화를 실행한다.",READY
D14_END,14,full_day,d14_start,"학교와 마지막 대화 진행",map_school|message,"complete final story",depends,d14_recovery|d14_no_help|d14_prevented,collapse_check,"현재 필수 행동 하나만 표시","collapse를 먼저 판정하고 그다음 도움 여부와 도박 횟수와 빚 상대와 목표 금액을 함께 판정한다.",REQUIRED
