line_id,column,replacement
d3_minjae_school_03,text,아 그거? 학교에서 맨날 겁주는 얘기잖아. 너까지 그걸 진지하게 보냐?
d3_seojun_normal_01,text,"야, 아까 말한 수학 필기 보냈어. 글씨 좀 엉망이어도 알아서 봐라."
d3_seojun_normal_02,text,오 살았다. 다음에 매점에서 음료 살게.
minjae_reminder_d3_01,text,오늘도 그냥 넘길 거야? 그 앱 한 번만 보면 되잖아.
d4_job_01,text,"첫날이라 긴장되지? 급하게 하지 말고, 순서 헷갈리면 바로 물어봐."
d4_job_01b,text,노트북 수리비는 제가 모으기로 했거든요. 이번 달 주말엔 안 빠지려고요.
d4_job_02,text,그래도 끝까지 했잖아. 오늘 일당 5만 원은 넣어뒀어. 수리비 모은다며? 괜히 딴 데 쓰지 말고 잘 모아.
d5_start_02,text,어제보단 덜 헤매겠지.... 일단 늦지 않게 가자.
d5_minjae_01,text,오늘 알바비 들어오지? 그건 놔두고 딱 한 판만 해 봐.
d5_minjae_02,text,그 앱 아직 안 지웠지? 출근 전에 하면 금방 끝나.
d5_minjae_04,text,나 방금 15만 땄어 ㅋㅋ 너도 지금 들어오면 됨.
d5_minjae_05,text,나 진짜 늦을 것 같아. 이 얘긴 나중에 하자.
d5_job_01,text,어제보다 손 빨라졌네. 계속 나오면 맡길 일도 늘어날 거야.
d5_seoyeon_cafe_03,text,그래도 잘 어울린다. 내일 자료 만들 때 오늘 얘기도 써볼까? 알바비 5만 원 버는 데 하루가 걸렸잖아.
d5_job_02,text,오늘 번 5만 원만큼 수리비에 가까워졌다. 하루를 꼬박 일해서 번 돈이라는 게 숫자로 보니 더 또렷했다.
d5_evening_02,text,몸은 무겁지만 오늘 할 일은 다 끝났다. 이제 씻고 쉬자.
minjae_reminder_d5_01,text,알바 끝났으면 이제 시간 있잖아. 계속 안 할 거면 그렇다고 말해.
d6_mom_allowance_01,text,"이번 주 용돈 1만 원 보냈어. 교통비랑 간식비에 쓰고, 수리비 모은다고 밥까지 아끼지는 마."
d6_school_01,text,첫 장에는 도박 사이트가 일부러 게임처럼 보이게 만든 부분을 넣자.
d6_school_03,text,맞아. 겉모습보다 실제로 돈이 걸리는지부터 보면 된대. 결과도 운에 따라 달라지고.
d6_school_04,text,"그럼 두 번째 장엔 겉모습 말고, 돈이 걸리는 구조랑 결과를 보라고 정리할게."
d6_school_05,text,좋아. 가챠나 고스톱을 전부 똑같이 묶지 않게 사례도 나눠 넣자.
d6_minjae_hallway_01,text,"야, 발표자료 오늘까지라며. 그걸 꼭 오늘 다 해야 돼?"
d6_minjae_hallway_03,text,그거 2시간 붙잡을 바엔 한 판 하고 하지. 너 원래 이렇게 답답했냐?
d6_minjae_01,text,발표자료 오늘 다 안 해도 되잖아. 한 판 하고 나서 하면 됨.
d6_minjae_02,text,나 방금 또 땄어 ㅋㅋ 이번엔 진짜 흐름 좋음.
d6_minjae_03,text,난 발표자료부터 할게. 끝나고 생각해 볼게.
d6_study_done_00,text,슬라이드 2장 다 만들었어. 게임처럼 보이게 하는 장치랑 도박 구분 기준도 따로 적었어.
d6_study_done_01,text,슬라이드 봤어. 게임처럼 보이는 부분이랑 실제 도박 기준 나눠 쓴 거 괜찮다.
d6_study_done_02,text,내일 예상 질문만 맞춰보면 준비 끝날 것 같아.
d6_mom_concern_03,text,그래도 밥은 먹고 해. 밤새 휴대폰 보면 내일 학교에서 못 버텨.
minjae_reminder_d6_01,text,발표자료 끝나면 앱 한 번만 봐. 기다리고 있을게.
d7_school_01,text,친구가 도박 얘기를 꺼냈을 때 어떻게 해야 하는지도 예상 질문에 넣었어.
d7_school_02,text,그냥 혼내거나 돈만 대신 갚아주면 더 숨길 수도 있대. 어른이나 상담받을 곳에 같이 말하는 게 낫고.
d7_school_04,text,나도 처음엔 세게 말리면 되는 줄 알았어. 그런데 그러면 더 숨길 수도 있대. 왜 아무한테도 못 말했는지부터 들어보라고 하더라.
d7_school_06,text,응. 빚도 혼자 갚게 두면 안 된대. 이 부분은 발표 때 네가 말해줄래?
d7_school_07,text,"응. 혼내기보다 먼저 듣고, 어른한테 같이 말하라고 할게."
d7_study_done_00,text,"예상 질문 정리했어. 친구가 도박 얘기 꺼내면 혼내기보다 먼저 듣고, 어른한테 같이 말하라고 적었어."
d7_study_done_01,text,"연습 끝. 내일은 내가 사례 설명하고, 네가 디자인이랑 구분 기준 말해줘."
d8_project_good_01,text,우리 발표 괜찮았다. 네가 구분 기준 설명한 부분도 깔끔했어.
d8_project_good_01b,text,조금? 그래도 끝까지 했잖아. 같이 준비한 보람은 있네.
d8_project_bad_01,text,어젯밤에 네 부분 표현이 좀 애매해서 내가 문장만 다시 다듬었어. 다음엔 늦기 전에 같이 보자.
d8_project_bad_01a,text,미안. 끝냈다고 생각했는데.... 확인을 제대로 못 했어.
d8_project_bad_01b,text,못 한 것보다 아무 말 없이 넘긴 게 더 답답했어. 한마디라도 해 줬으면 같이 봤을 텐데.
d8_lecture_01,text,도박은 마음먹는다고 바로 멈춰지지 않을 수 있습니다. 잃은 돈을 혼자 되찾으려 할수록 피해는 더 커집니다.
d8_lecture_02,text,마음에 걸리는 일이 있다면 믿을 만한 어른에게 먼저 알려주세요. 국번 없이 1336에서도 상담받을 수 있습니다.
d9_start_01,text,강연에서 들은 말이 계속 떠올랐다. 민재가 알려준 앱을 왜 자꾸 신경 쓰는지도.
d9_start_02,text,앱을 안 열면 되는 거잖아.... 민재가 뭐라고 보냈는지만 보자.
d9_minjae_01,text,학교에서 또 그런 교육했냐? 원래 겁주려고 좀 과장해서 말함.
d9_minjae_02,text,그 앱 아직 있지? 딱 한 판만 하자.
d9_minjae_03,text,강연 때문이 아니라 지금 학교 갈 시간이야. 나중에 얘기하자.
d9_school_01,text,어제 강연 듣고 궁금한 거 있으면 따로 물어봐도 돼.
d9_school_03,text,요즘 수업 중에 자주 멍하더라. 혼내려는 거 아니니까 힘든 일 있으면 말해도 돼.
d9_school_04,text,네.... 그냥 잠을 좀 못 자서 그래요.
d9_mom_dinner_01,text,오늘도 거의 안 먹었네. 얼굴도 안 좋아. 학교에서 무슨 일 있었어?
d9_evening_02,text,메시지는 봤지만 그 앱까지 다시 열 필요는 없어. 오늘은 여기서 멈추자.
minjae_reminder_d9_01,text,강연 듣고 나서 아예 답도 안 하네. 그 앱 이제 안 볼 거야?
d10_start_02,text,이번 주말 이틀까지 빠지지 않으면 수리비로 10만 원을 더 모을 수 있다. 괜히 빠른 방법 찾지 말자.
d10_minjae_01,text,이번 주말 이틀 일하면 10만 원이지? 그 전에 조금만 더 따두면 수리비 바로 채우잖아.
d10_minjae_02,text,지금 안 보면 주말 보너스 끝날 수도 있음.
d10_minjae_03,text,지금 학교 가야 돼. 주말에도 일 있으니까 일정부터 볼게.
d10_minjae_debt_01,text,주말 알바비 들어오면 내 돈부터 갚는 거지? 그 전에 복구하면 알바비는 그대로 남잖아.
d10_minjae_debt_02,text,이번에만 맞으면 나한테 빌린 돈도 바로 갚을 수 있고.
d10_minjae_debt_03,text,알바비 들어오면 얼마부터 갚을지 계산해 볼게. 지금 더 하겠다는 말은 못 해.
minjae_reminder_d10_01,text,주말 전에 돈 만들려면 오늘이 마지막일 수도 있음.
d10_seojun_followup_01,text,다음 주에 갚는다고 한 거 기억하지? 나도 계속 기다리긴 어려워. 언제 가능한지만 말해줘.
d10_seojun_followup_01,choice_a_text,지금 갚을 수 있는 만큼 보낸다
d10_seojun_followup_01,choice_b_text,조금만 더 기다려 달라고 한다
d10_seojun_followup_03,text,주말 알바비 들어오면 줄게. 조금만 더 기다려 줘.
d10_seojun_repay_choice_01,text,서준한테 뭐라고 답하지....
d10_seojun_repay_choice_01,choice_a_text,지금 갚을 수 있는 만큼 보낸다
d10_seojun_repay_choice_01,choice_b_text,조금만 더 기다려 달라고 한다
d10_seojun_repaid_01,text,약속을 더 미루기 전에 지금 보낼 수 있는 돈부터 보내자.
d10_seojun_repaid_message_01,text,지금 가진 돈부터 보냈어. 늦어서 미안해.
d10_seojun_cannot_repay_01,text,갚고 싶지만 지금은 보낼 돈이 없다.... 조금만 더 기다려 달라고 해야겠다.
d10_minjae_repay_choice_01,text,다시 도박할 생각은 없다. 지금 갚을 수 있는 돈부터 확인하자.
d10_minjae_repay_choice_01,choice_a_text,지금 갚을 수 있는 만큼 보낸다
d10_minjae_repay_choice_01,choice_b_text,조금만 더 기다려 달라고 한다
d10_minjae_repaid_01,text,민재가 뭐라고 하든 빌린 돈은 갚아야 한다. 지금 보낼 수 있는 것부터 보내자.
d10_minjae_repaid_message_01,text,지금 가진 돈부터 보냈어. 남은 것도 날짜 정해서 갚을게.
d10_minjae_cannot_repay_01,text,갚고 싶지만 지금은 보낼 돈이 없다.... 주말 알바비가 들어오면 먼저 갚겠다고 해야겠다.
d10_minjae_delay_thought_01,text,또 미룬다는 말을 쓰려니 손이 멈췄다.... 그래도 답장은 해야 한다.
d10_minjae_delay_message_01,text,지금은 보낼 돈이 없어. 주말 알바비 들어오면 먼저 갚을게.
d11_job_02,text,"그래. 요즘 계속 피곤해 보이던데, 신경 쓰이는 일 있으면 얘기해."
d11_job_03,text,수리비 모은다고 했지. 돈 때문에 마음 급해져도 무리하진 말고.
d11_minjae_cafe_01,text,여기 진짜 네 알바하는 데였네. 오늘도 끝나면 바로 돈 들어와?
d11_minjae_cafe_03,text,"아니, 그냥 물어본 거잖아. 너도 잃은 돈 되찾고 싶다며."
d11_minjae_cafe_04,text,친구 갔어? ....너 괜찮아? 아까부터 손이 떨리던데.
d11_minjae_debt_cafe_01,text,오늘 일당 들어오면 내 돈부터 보내는 거지?
d11_minjae_debt_cafe_03,text,내 돈이니까 묻는 거잖아. 복구하면 바로 갚는다며.
d11_minjae_debt_cafe_04,text,친구 갔어? ....너 괜찮아? 아까부터 손이 떨리던데.
d12_manager_help_00a,text,요즘 휴대폰만 보면 표정이 굳더라. 돈 얘기 나오면 더 그렇고. 무슨 일 있어?
d12_manager_help_00c,text,그게.... 처음엔 무료 포인트만 보려고 했어요. 그런데 잃은 돈 생각나서 몇 번 더 하다가....
d12_manager_help_00d,text,혹시 도박이야? 혼내려고 묻는 거 아니야. 지금 어디까지 왔는지부터 알아야 하니까.
d12_manager_help_00e,text,....네. 돈도 좀 빌렸어요. 금방 되찾아서 갚을 수 있을 줄 알았는데 더 꼬였어요.
d12_manager_help_01,text,나도 예전에 잃은 돈만 찾으면 바로 그만둘 수 있을 줄 알았어.
d12_manager_help_02,text,빌린 돈까지 잃고도 아무한테 말 안 했지. 그게 제일 오래 갔어.
d12_manager_help_02a,text,선생님께 말하면 부모님한테도 바로 연락 가겠죠? ....그게 제일 무서워요.
d12_manager_help_02b,text,아마 부모님께도 말씀드려야 할 거야. 그래도 계속 숨기면 빚이랑 거짓말만 더 커져.
d12_manager_help_03,text,내일 학교 가면 선생님한테 먼저 말해. 누구한테 얼마를 빌렸는지부터 같이 정리해 달라고 해.
d12_manager_help_04,text,네.... 내일 가서 어떻게 말할지부터 생각해 볼게요.
d12_manager_bond_02,text,수리비는 좀 모였어? 주말마다 안 빠지고 나왔으니 꽤 됐겠네. 잘 모아둬.
d12_manager_distant_01,text,"오늘 나온 건 다행인데, 그동안 결근이 너무 많았어. 다음 근무는 당분간 잡기 어렵겠다."
d13_start_stable_01,text,월요일 아침. 그 앱을 안 연 지 며칠 됐다. 오늘 일정부터 하나씩 끝내자.
d13_consult_02,text,무슨 일 있어? 괜찮으니까 천천히 말해도 돼.
d13_consult_response_01,text,선생님.... 저 도박 때문에 돈을 잃었어요. 멈추려고 했는데.... 혼자서는 잘 안 돼요.
d13_consult_response_02,text,잘 말해줬어. 이건 네가 혼자 갚고 끝낼 일이 아니야. 부모님께 말씀드리는 것부터 같이 생각해 보자.
d13_consult_response_03,text,네.... 엄마한테도 말하고 상담도 받아볼게요.
d13_no_help_school_01,text,지난번에도 괜찮다고 했는데 계속 안 좋아 보여. 잠깐 얘기할까?
d13_no_help_school_02,text,아니에요.... 그냥 알바 때문에 좀 피곤해서 그래요. 진짜 괜찮아요.
d13_stable_school_01,text,발표 끝났는데도 자료 정리 계속했네. 다음 조도 보기 편하겠다.
d13_stable_school_02,text,"처음엔 귀찮았는데, 정리하다 보니까 나한테도 필요한 얘기더라."
d14_recovery_02,text,잃은 돈은 당장 어떻게 할 수 없잖아. 누구한테 얼마나 빌렸는지부터 같이 보자. 상담도 계속 받고.
d14_recovery_goal_debt_01,text,"노트북 고치려고 모으던 돈은 다 사라졌고, 갚아야 할 돈까지 남았다. 수리비보다 빚부터 정리해야 한다."
d14_recovery_goal_no_debt_01,text,"수리비는 많이 줄었지만 빚까지 만들기 전에 멈췄다. 잃은 돈 생각은 그만하고, 밀린 일부터 다시 해보자."
d14_seoyeon_good_01,text,요즘 힘들어 보였는데도 네 역할은 끝까지 했잖아. 선생님한테 말한 것도 잘했어.
d14_seoyeon_bad_02,text,내가 계속 미뤄서 네가 내 몫까지 했잖아. 미안해.
d14_seoyeon_bad_03,text,"바로 괜찮아지진 않겠지만, 다음부터는 늦기 전에 말해줘."
d14_recovery_followup_01,text,오늘 부모님이랑 상담 일정 잡았어. 네가 혼자 설명하기 어려운 건 내가 같이 말해줄게.
d14_recovery_followup_03,text,"그게 당연하지. 오늘 다 해결하려고 하지 말고, 하나씩 순서부터 정해보자."
d14_recovery_seojun_01,text,"서준아, 미안해. 사실 도박하다 돈 잃고 너한테 거짓말했어. 한 번에 다 못 갚아도 알바비 들어올 때마다 보내도 될까?"
d14_recovery_seojun_02,text,솔직히 화는 나. 그래도 이제라도 말해줘서 다행이야. 언제부터 얼마씩 줄지만 정하자.
d14_recovery_seojun_03,text,응. 날짜 정해서 꼭 지킬게. 들어줘서 고마워.
d14_recovery_minjae_01,text,민재야. 도박 때문에 네 돈까지 빌린 건 내 잘못이야. 갚을 날짜 정해서 알려줄게.
d14_recovery_minjae_02,text,"됐고, 끊든 말든 네 사정이야. 나한테 빌린 5만 원이나 날짜 맞춰서 갚아."
d14_recovery_minjae_03,text,알겠어. 날짜 정하면 먼저 알려줄게. 그 앱은 이제 안 들어갈 거야.
d14_recovery_family_01,text,당장 다 갚으라고 하진 않을게. 대신 누구한테 얼마나 빌렸는지부터 같이 보자.
d14_recovery_family_02,text,응. 숨긴 것도 하나씩 다 말할게.
d14_recovery_no_debt_01,text,돈까지 빌리기 전에 멈춘 건 다행이야. 그래도 잃은 돈이랑 숨긴 건 같이 정리하자.
d14_recovery_no_debt_02,text,응. 빚이 없다고 괜찮은 척 안 하고 처음부터 말할게.
d14_no_help_messages_01,text,어제도 결국 안 들어왔더라. 그래서 잃은 돈이 돌아왔냐?
d14_no_help_messages_02,text,오늘 보너스 좋다던데. 진짜 마지막으로 한 번만 보자.
d14_no_help_messages_03,text,민재를 차단하고 그 앱을 지우면 되는데.... 손가락이 움직이지 않았다.
d14_no_help_seojun_01,text,미안한데 나도 이제는 이유를 알아야 할 것 같아. 계속 미루면 나도 곤란해.
d14_no_help_seojun_02,text,돈 때문만은 아니야. 왜 이러는지 아무 말도 안 하니까 더 답답해.
d14_no_help_minjae_01,text,나한테 빌린 5만 원 언제 갚을 건데? 돈 없다길래 빌려줬더니 연락도 피하네.
d14_no_help_minjae_03,text,그 말 전에도 했잖아. 도박할 돈은 있고 갚을 돈은 없어?
d14_no_help_mom_01,text,지난번에 보낸 5만 원 어디에 썼어? 교통카드 내역에는 없던데.
d14_no_help_home_02,text,계좌에는 갚아야 할 돈만 남아 있었다. 그래도 도움을 구하는 대신 그 앱을 다시 열었다.
d14_no_help_home_no_debt_02,text,계좌는 비어 있었다. 그래도 도움을 구하는 대신 그 앱을 다시 열었다.
d14_no_help_no_debt_01,text,"민재한테 돈까지 빌리진 않았지만, 잃은 돈 생각에서 계속 못 빠져나왔다."
d14_prevented_school_01,text,요즘은 진짜 안 들어오네. 내가 보낸 것도 다 씹고.
d14_prevented_school_02,text,"응. 처음엔 공짜 포인트라 별거 아닌 줄 알았는데, 계속 신경 쓰이는 게 이상하더라. 이제 안 들어갈 거야."
d14_prevented_school_03,text,"그래, 됐어. 나중에 아쉽다고 해도 난 모른다."
d14_prevented_goal_full_01,text,주말 근무를 다 나간 덕분에 수리비를 채웠다. 오래 걸렸지만 내가 번 돈이었다.
d14_prevented_goal_mixed_01,text,"목표 금액은 채웠지만, 빠진 알바 대신 도박에서 생긴 돈도 섞여 있다. 운 좋게 멈춘 거지, 괜찮은 방법이었던 건 아니다."
d14_prevented_goal_short_01,text,수리비를 다 채우진 못했다. 그래도 남은 금액이랑 빠진 근무를 다시 계산하니 언제쯤 모을 수 있을지는 보였다.
d14_prevented_home_03,text,그래? 무슨 일 있으면 혼자 끙끙대지 말고 말해.
mom_loan_message_01,text,"엄마, 교통카드 충전해야 하는데 5만 원만 보내주면 안 돼?"
mom_loan_message_02,text,5만 원이나? 지난번에 준 돈은 다 쓴 거야?
seojun_loan_message_01,text,"서준아, 미안한데 지금 5만 원만 빌려줄 수 있어? 다음 주에 꼭 갚을게."
seojun_loan_message_04,text,....알겠어. 보냈어. 진짜 곤란한 일 있으면 돈부터 빌리지 말고 얘기해.
seojun_loan_message_05,text,고마워. 다음 주 알바비 들어오면 꼭 갚을게. 괜히 걱정하게 해서 미안.
mom_loan_response_01,text,5만 원이나? 지난번에 준 돈은 다 쓴 거야?
seojun_loan_response_03,text,....알겠어. 보냈어. 진짜 곤란한 일 있으면 돈부터 빌리지 말고 얘기해.
seojun_loan_response_04,text,고마워. 다음 주 알바비 들어오면 꼭 갚을게. 괜히 걱정하게 해서 미안.
minjae_loan_offer_01,text,돈 없어서 멈춘 거야? 내가 5만 빌려줄게. 다음 알바비 들어오면 주면 되잖아.
minjae_loan_rejected_01,text,그래. 마음 바뀌면 말해. 돈 필요하면 그때 연락하고.
minjae_loan_accepted_01,text,보냈어. 이번엔 진짜 복구하고 바로 갚아.
late_first_gamble_return_01,text,처음으로 앱을 열어 본 결과 2만 원이 생겼다. 잠깐 보려던 게 한 시간이나 지나 있었다. 지금부터라도 남은 일정을 확인하자.
gamble_1_03,text,"한 시간 만에 2만 원이 생겼다. 알바 한 번보다 적은 돈인데도, 몸 하나 안 쓰고 벌었다는 생각부터 들었다."
gamble_3_02,text,....지금 멈추면 오늘 잃은 돈은 그대로 손해잖아.
gamble_5_02,text,교통비까지 다 썼다. 그런데 돈만 구하면 한 번은 더 할 수 있다는 생각이 들었다.
gamble_6_02,text,도박을 멈춰도 잃은 돈이랑 밀린 약속은 그대로다. 이제 누구한테 뭐라고 말해야 하지.
gamble_no_funds_01,text,계좌에 돈이 없다. 앱을 눌러도 더 할 수 없다.
gamble_no_funds_02,text,"계좌 잔액은 0원이다. 더 하려면 누군가에게 돈을 빌려야 한다. 돈을 구할지, 여기서 멈출지 정해야 한다."
gamble_no_funds_02,choice_a_text,돈을 빌릴 방법을 찾는다
gamble_repeat_loss_02,text,이번에도 잃었다. 돈이 다시 생겨도 이대로면 또 잃을 것 같다.
gamble_7_02,text,....한 번만 더 맞으면 이번엔 진짜 되찾을 수 있을 것 같은데.
gamble_8_02,text,방금 번 것보다 더 크게 잃었다. 그런데도 또 다음 판부터 생각났다.
bedtime_cue_01,text,"오늘 일정은 모두 끝냈다. 도박 앱도 눈에 들어오고, 피곤하기도 한데.... 어떻게 할지 정해야겠다."
d1_school_missed_message_01,text,오늘 학교 안 왔더라. 우리 둘이 같은 조 됐어. 다음 주 수요일에 온라인 광고랑 확률 표현으로 발표한대.
d1_school_missed_message_02,text,내일 상담 번호랑 출처 찾아줄래? 나는 예방치유원 자료 볼게.
d2_school_missed_message_01,text,오늘 못 왔네. 어제 말한 상담 번호랑 어떤 상담을 받을 수 있는지만 한 줄로 보내줘.
d3_school_missed_message_01,text,"오늘 같이 보려던 사례 보내둘게. 처음엔 조금 땄다가, 잃은 돈 되찾겠다고 친구한테 빌리고 학교까지 계속 빠진 사례야."
d6_school_missed_message_01,text,"오늘 발표자료 만드는 날이야. 게임처럼 보이게 하는 부분이랑, 실제 돈이 걸리는 구조를 나눠서 정리해줘."
d7_school_missed_message_01,text,"내일 발표라 예상 질문 정리해뒀어. 친구가 도박 얘기하면 혼내기보다 먼저 듣고, 어른한테 같이 말하는 쪽으로 답하자."
d8_school_missed_message_01,text,"오늘 예방교육에서, 잃은 돈 때문에 수업이나 약속을 미루기 시작했다면 혼자 되찾으려 하지 말고 도움을 요청하라고 했어. 필요하면 1336으로 상담할 수 있어."
d9_school_missed_message_01,text,오늘 결석했구나. 어제 교육 내용 중 마음에 걸리는 게 있으면 혼자 넘기지 말고 연락해. 필요하면 상담도 받을 수 있어.
d10_school_missed_message_01,text,오늘 학교 안 왔더라. 주말 알바 있다 했지? 무슨 일 있는 건 아니지? 말하기 싫어도 연락까지 피하진 마.
d13_school_missed_help_01,text,오늘 결석했구나. 지난번에도 표정이 안 좋아 보여서 걱정됐어. 직접 말하기 어렵다면 메시지로 해도 괜찮아.
d13_school_missed_no_help_01,text,오늘 학교에 안 왔구나. 요즘 계속 피곤해 보였는데 괜찮니? 혼자 버티기 어렵다면 연락해.
d13_school_missed_stable_01,text,오늘 못 왔네. 발표 자료 정리한 건 내가 공유해둘게. 괜찮아지면 확인해 줘.
d14_recovery_school_missed_01,text,오늘 결석했네. 선생님이랑 얘기 시작했다니 다행이야. 발표 자료는 내가 정리해둘게. 나중에 천천히 연락해.
d14_prevented_school_missed_01,text,오늘 못 왔네. 발표 자료 마지막 파일로 보내둘게. 네 부분도 정리돼 있으니까 확인해 줘.
d1_after_first_gamble_01,text,계좌에 찍힌 입금 내역을 몇 번이나 다시 봤다. 한 시간 만에 돈이 생기니 그 앱이 전보다 덜 위험해 보였다.
d14_prevented_01,text,민재가 알려준 앱을 안 연 지 며칠 됐다. 처음처럼 자꾸 확인하고 싶지도 않았다.
